,rent,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood
77,5200,3.0,2,2000,5,4.0,106,0,0,0,0,0,1,0,0,Central Harlem
78,2800,0.0,1,450,4,5.0,43,1,0,0,0,0,0,0,0,Financial District
79,6000,2.0,2,1200,9,4.0,105,0,0,1,0,0,0,0,0,Midtown West
80,2100,0.0,1,400,5,2.0,101,0,0,0,0,0,0,0,0,Upper West Side
81,2300,1.0,1,500,6,3.0,96,0,0,0,0,0,0,0,0,Chinatown
82,16750,3.0,3,2850,1,27.0,102,0,0,0,0,0,0,0,0,Financial District
83,6400,2.0,1,1151,3,7.0,87,1,0,0,0,0,0,0,0,Upper East Side
84,5595,2.0,2,1170,4,28.0,85,1,1,1,1,1,1,0,1,Financial District
85,2800,0.0,1,466,5,4.0,10,0,0,0,0,1,0,0,0,Upper West Side
86,3219,0.0,1,533,4,17.0,47,1,0,0,0,0,0,0,0,Financial District
87,8500,2.0,2,1244,1,6.0,9,0,0,1,1,1,0,0,0,Soho
88,10000,2.0,2,1508,1,7.0,89,1,0,0,0,0,0,0,0,Upper East Side
89,3775,1.0,1,600,0,2.0,56,1,0,0,0,0,0,0,0,Upper East Side
90,4350,1.0,1,880,7,14.0,16,0,0,0,1,0,0,0,0,Upper West Side
91,3995,1.0,1,899,1,14.0,112,1,0,0,0,0,0,0,0,Financial District
92,4995,2.0,2,1153,43,16.0,9,0,0,0,0,0,0,0,0,Roosevelt Island
93,7195,5.0,2,2430,5,5.0,96,1,0,0,0,0,0,0,0,Upper West Side
94,7600,2.0,2,1500,5,9.0,2,0,0,0,0,0,0,0,0,Tribeca
95,2995,1.0,1,350,1,5.0,116,0,0,0,0,0,0,0,0,West Village
96,4490,1.0,1,620,4,29.0,16,1,0,0,0,0,0,0,0,Chelsea
97,3450,3.0,2,1800,2,5.0,101,1,0,0,0,0,0,0,0,Washington Heights
98,3800,1.0,1,700,13,19.0,9,1,1,0,1,1,0,0,1,Midtown West
99,14662,4.0,3,1732,4,10.0,113,1,0,0,0,0,0,0,0,Upper West Side
100,2575,0.0,1,490,3,8.0,15,1,0,0,0,0,0,0,0,Upper West Side
101,3750,1.0,1,700,3,5.0,90,0,0,0,0,0,0,0,0,Greenwich Village
102,6695,2.0,2,1033,2,17.0,30,0,0,0,1,0,0,0,0,Flatiron
103,5500,1.0,1,1165,5,22.0,37,1,0,0,0,0,0,0,0,Upper East Side
104,5475,1.0,1,1094,2,38.0,30,0,1,1,1,1,1,0,1,Midtown
105,4910,2.0,2,933,10,10.0,16,1,0,0,0,0,0,0,0,Midtown West
106,5150,1.0,1,695,3,18.0,52,1,0,0,0,0,0,0,0,Tribeca
107,4950,1.0,1,1115,5,2.0,37,1,0,0,0,0,0,0,0,Upper East Side
108,5225,1.0,1,770,3,11.0,52,1,0,0,0,0,0,0,0,Tribeca
109,13750,3.0,3,1920,43,8.0,8,1,0,0,0,0,0,0,0,Upper West Side
110,4500,1.0,1,755,7,43.0,6,0,0,0,0,0,0,0,0,Midtown South
111,2200,1.0,1,675,4,4.0,88,0,0,0,0,0,0,0,0,Washington Heights
112,4000,1.0,1,840,10,40.0,30,1,0,0,0,0,0,0,0,Upper East Side
113,4300,0.0,1,559,3,24.0,11,1,0,0,0,0,0,0,0,Flatiron
114,2750,1.0,1,730,5,3.0,9,0,0,0,0,0,0,0,0,East Harlem
115,5120,2.0,2,1003,10,7.0,16,1,0,0,0,0,0,0,0,Midtown West
116,5895,2.0,2,1200,2,18.0,13,1,0,0,0,0,0,0,0,Financial District
117,11723,3.0,2,1540,1,8.0,89,1,0,0,0,0,0,0,0,Upper West Side
118,4270,1.0,1,630,2,12.0,13,0,0,0,0,0,0,0,0,Lower East Side
119,2995,0.0,1,548,2,11.0,13,0,0,1,0,0,1,0,0,Financial District
120,2150,1.0,1,687,4,2.0,96,0,0,0,0,0,0,0,0,Hamilton Heights
121,3500,1.0,1,651,6,34.0,37,1,0,0,1,0,0,0,0,Midtown East
122,2150,1.0,1,650,7,2.0,115,0,1,0,1,1,0,1,1,Midtown West
123,2350,0.0,1,400,5,16.0,30,0,0,1,1,1,0,0,1,Midtown East
124,4499,2.0,1,837,6,14.0,37,0,0,0,1,1,1,0,1,Midtown East
125,3815,1.0,1,665,8,23.0,16,1,0,0,0,0,0,0,0,Midtown East
126,3200,2.0,1,850,7,3.0,60,0,1,0,1,1,1,1,1,Midtown East
127,1625,1.0,1,560,6,2.0,96,1,0,0,0,0,0,0,0,Washington Heights
128,3500,1.0,1,722,12,32.0,32,0,0,0,0,0,0,0,0,Midtown East
129,3495,1.0,1,686,10,34.0,29,1,0,0,0,0,0,0,0,Midtown West
130,2025,0.0,1,350,3,4.0,90,0,0,0,0,0,0,0,0,Upper West Side
131,2700,3.0,1,750,2,1.0,112,1,0,0,0,0,0,0,0,Washington Heights
132,3550,1.0,1,748,6,9.0,10,0,1,0,0,0,1,1,0,Upper West Side
133,6000,1.0,1,1500,2,2.0,151,0,0,0,0,0,0,0,0,Tribeca
134,4750,2.0,2,917,3,4.0,15,1,0,0,0,0,0,0,0,Upper West Side
135,2800,0.0,1,520,2,24.0,9,0,0,0,1,1,0,0,0,Midtown West
136,5000,1.0,1,707,2,5.0,8,0,1,0,1,1,1,0,0,Chelsea
137,3500,2.0,2,1050,5,4.0,96,0,0,1,0,0,1,0,0,Central Harlem
138,6800,2.0,2,1295,11,34.0,15,1,0,0,0,0,0,0,0,Upper East Side
139,2775,0.0,1,500,3,22.0,30,1,0,0,0,0,0,0,0,Midtown
140,7900,2.0,2,1160,2,9.0,75,1,0,0,0,0,0,0,0,Central Park South
141,3995,1.0,1,800,3,5.0,27,0,0,0,0,1,0,0,0,Upper West Side
142,9950,1.0,2,2050,3,4.0,52,1,0,0,0,0,0,0,0,Tribeca
143,3400,1.0,1,800,7,3.0,16,0,0,0,0,0,0,0,0,Upper West Side
144,3300,1.0,1,725,4,5.0,91,0,1,1,1,1,1,0,0,Upper West Side
145,11000,2.0,2,3000,0,2.0,116,0,0,0,1,1,1,0,0,Soho
146,3250,2.0,1,850,5,3.0,116,0,0,0,0,0,0,0,0,Upper West Side
147,5700,2.0,2,1176,12,2.0,7,0,1,0,0,0,0,0,0,Chelsea
148,7246,2.0,2,1080,1,10.0,89,1,0,0,0,0,0,0,0,Upper West Side
149,5688,2.0,2,1260,7,7.0,39,1,0,0,0,0,0,0,0,Upper East Side
150,6350,1.0,2,1352,1,2.0,126,1,0,0,0,0,0,0,0,Tribeca
151,2800,0.0,1,351,1,2.0,29,0,0,0,0,0,0,0,0,Midtown West
152,5740,1.0,1,761,5,15.0,6,1,0,0,0,0,0,0,0,Upper West Side
153,3500,2.0,2,1031,3,6.0,13,0,0,0,0,0,0,0,0,Central Harlem
154,12500,3.0,3,2500,5,6.0,96,0,0,0,0,0,0,0,0,Midtown West
155,2695,0.0,1,625,9,7.0,8,1,1,1,0,0,1,0,0,Midtown West
156,2895,0.0,1,506,2,18.0,41,0,0,0,1,1,0,0,0,Upper East Side
157,16500,2.0,2,1895,9,4.0,1,0,0,0,0,0,0,0,0,Chelsea
158,5000,1.0,1,764,2,20.0,38,1,0,1,1,0,1,0,0,Midtown West
159,6600,2.0,2,1100,2,12.0,92,1,0,0,0,0,0,0,0,Upper West Side
160,3490,2.0,2,800,6,4.0,106,0,0,0,1,0,0,0,0,Gramercy Park
161,4800,2.0,2,1000,3,8.0,96,0,0,0,1,1,0,0,0,Midtown South
162,4050,1.0,1,805,11,20.0,15,1,0,0,0,0,0,0,0,Upper East Side
163,5850,1.0,1,752,3,33.0,6,1,0,0,0,0,0,0,0,Chelsea
164,2300,1.0,1,650,3,3.0,76,0,0,0,0,0,0,0,0,Upper West Side
165,3275,0.0,1,480,4,9.0,86,0,0,0,0,0,0,0,0,Chelsea
166,4095,1.0,1,713,4,9.0,19,1,0,0,0,0,1,0,0,Upper East Side
